district_Name,property_size,property_price
,,
فيلا للبيع في شارع تقي الدين بن حزن ، حي طويق ، الرياض ، الرياض,300 م²,"1,130,000 ريال"
,,
فيلا للبيع في شارع بلال بن رباح ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
,,
فيلا للبيع في شارع عبدالله بن أبي حبيب ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
,,
فيلا للبيع في طريق الامام مالك ، حي بدر ، الرياض ، الرياض,258 م²,"970,000 ريال"
,,
فيلا للبيع في حي ، شارع وادي الثمامة ، حي الصحافة ، الرياض ، الرياض,300 م²,"3,200,000 ريال"
,,
"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
,,
فيلا للبيع في شارع القلاع ، حي الرمال ، الرياض ، الرياض,335 م²,"1,850,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,240 م²,"1,160,000 ريال"
,,
فيلا للبيع في حي ، شارع الامام ابي حنيفة ، حي العريجاء الوسطى ، الرياض ، الرياض,200 م²,"1,150,000 ريال"
,,
فيلا للبيع في شارع ابي بكر الصديق ، حي الربيع ، الرياض ، الرياض,1000 م²,"9,000,000 ريال"
,,
فيلا للبيع في شارع يحيى ابن الابيض ، حي ظهرة البديعة ، الرياض ، الرياض,900 م²,"1,900,000 ريال"
,,
فيلا للبيع في شارع زامل بن سليم ، حي الروابي ، الرياض ، الرياض,2000 م²,"8,000,000 ريال"
,,
فيلا للبيع في شارع ثابت العوفي ، حي النرجس ، الرياض ، الرياض,350 م²,"3,130,000 ريال"
,,
فيلا للبيع في شارع القصر ، حي طويق ، الرياض ، الرياض,240 م²,"1,050,000 ريال"
,,
فيلا للبيع في حي عكاظ ، الرياض ، الرياض,360 م²,"1,060,000 ريال"
,,
فيلا للبيع في شارع علي بن سعيد ، حي اشبيلية ، الرياض ، الرياض,300 م²,"2,000,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,352 م²,"1,650,000 ريال"
,,
فيلا للبيع في شارع يحيى العصامي ، حي طويق ، الرياض ، الرياض,300 م²,"1,160,000 ريال"
,,
فيلا للبيع في الرياض ، حي طويق ، الرياض,200 م²,"1,050,000 ريال"
,,
فيلا للبيع في شارع عمر بن جناوه ، حي طويق ، الرياض ، الرياض,370 م²,"1,100,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,372 م²,"1,500,000 ريال"
,,
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
,,
فيلا للبيع في شارع علي المفتي ، حي العارض ، الرياض ، الرياض,225 م²,"2,150,000 ريال"
,,
فيلا للبيع في شارع النبع ، حي طويق ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,1218 م²,"5,000,000 ريال"
,,
فيلا للبيع في شارع يحيى العصامي ، حي طويق ، الرياض ، الرياض,375 م²,"1,300,000 ريال"
,,
"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,800,000 ريال"
,,
فيلا للبيع في طريق الامام مالك ، حي بدر ، الرياض ، الرياض,312 م²,"850,000 ريال"
,,
فيلا للبيع في حي القادسية ، الرياض ، الرياض,312 م²,"1,400,000 ريال"
,,
فيلا للبيع في حي ، شارع وادي ابو عرب ، حي ديراب ، الرياض ، الرياض,360 م²,"940,000 ريال"
,,
فيلا للبيع في حي ، شارع الشيخ صالح بن عبد العزيز بن عبد الرحمن ، حي السويدي الغربي ، الرياض ، الرياض,775 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع رقم 369 ، حي النرجس ، الرياض ، الرياض,312 م²,"2,900,000 ريال"
,,
فيلا للبيع في شارع عبدالحفيظ القارئ ، حي النرجس ، الرياض ، الرياض,370 م²,"3,550,000 ريال"
,,
فيلا للبيع في شارع ابي محمد الموفق ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
,,
فيلا للبيع في حي القادسية ، الرياض ، الرياض,217 م²,"1,399,000 ريال"
,,
فيلا للبيع في شارع الدائري الثاني ، حي طويق ، الرياض ، الرياض,365 م²,"1,150,000 ريال"
,,
فيلا للبيع في شارع بن عبدالعزيز ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
,,
فيلا للبيع في طريق الملك فهد ، حي المحمدية ، الرياض ، الرياض,1524 م²,"8,000,000 ريال"
,,
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,375 م²,"3,700,000 ريال"
,,
فيلا للبيع في شارع وادي هجر ، حي بدر ، الرياض ، الرياض,270 م²,"950,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع محمد بن عمر القلشاني ، حي طويق ، الرياض ، الرياض,450 م²,"1,800,000 ريال"
,,
فيلا للبيع في شارع الذهبي ، حي طويق ، الرياض ، الرياض,350 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع ابراهيم بن ميسره ، حي طويق ، الرياض ، الرياض,300 م²,"1,030,000 ريال"
,,
فيلا للبيع في شارع الوطن ، حي النهضة ، الرياض ، الرياض,1500 م²,"5,000,000 ريال"
,,
فيلا للبيع في شارع خديجة بنت خويلد ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
,,
"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع ابي الطيب ، حي بدر ، الرياض ، الرياض,450 م²,"750,000 ريال"
,,
فيلا للبيع في شارع امين بن حسن الميرغني ، حي طويق ، الرياض ، الرياض,420 م²,"1,550,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,280,000 ريال"
,,
فيلا للبيع في شارع رقم 205 ، حي النرجس ، الرياض ، الرياض,312 م²,"3,000,000 ريال"
,,
فيلا للبيع في حي بدر ، الرياض ، الرياض,348 م²,"1,070,000 ريال"
,,
فيلا للبيع في شارع عطاء بن يعقوب المدني ، حي العارض ، الرياض ، الرياض,262 م²,"2,200,000 ريال"
,,
فيلا للبيع في شارع ، شارع عثمان بن الخصيب ، حي البديعة ، الرياض ، الرياض,315 م²,"1,300,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,250 م²,"1,130,000 ريال"
,,
فيلا للبيع في حي الرمال، ، الرياض ، الرياض,334 م²,"1,750,000 ريال"
,,
فيلا للبيع في حي ، شارع القاضي الاشبـيلي ، حي الدار البيضاء ، الرياض ، الرياض,220 م²,"840,000 ريال"
,,
فيلا للبيع في شارع طارق بن شهاب ، حي العارض ، الرياض ، الرياض,300 م²,"2,250,000 ريال"
,,
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,400 م²,"3,600,000 ريال"
,,
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,1239 م²,"7,500,000 ريال"
,,
فيلا للبيع في شارع الامير عبدالله بن سعود بن عبدالله صنيتان ، حي الصحافة ، الرياض ، الرياض,416 م²,"3,650,000 ريال"
,,
فيلا للبيع في شارع اسماعيل الخطيبي ، حي العارض ، الرياض ، الرياض,483 م²,"3,800,000 ريال"
,,
فيلا للبيع في شارع نعمان بن مقرن المزيني ، حي العارض ، الرياض ، الرياض,270 م²,"1,860,000 ريال"
,,
فيلا للبيع في شارع محمد بن مشرف ، حي طويق ، الرياض ، الرياض,375 م²,"1,700,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,281 م²,"1,280,000 ريال"
,,
فيلا للبيع في شارع ابن عساكر ، حي الدريهمية ، الرياض ، الرياض,300 م²,"720,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع التطور ، حي احد ، الرياض ، الرياض,348 م²,"1,250,000 ريال"
,,
فيلا للبيع في شارع احمد بن مغيث الصدفي ، حي طويق ، الرياض ، الرياض,450 م²,"1,250,000 ريال"
,,
فيلا للبيع في حي بدر ، الرياض ، الرياض,215 م²,"870,000 ريال"
,,
فيلا للبيع في شارع فتح مكة ، حي بدر ، الرياض ، الرياض,270 م²,"990,000 ريال"
,,
فيلا للبيع في شارع عثمان بن صدقة ، حي طويق ، الرياض ، الرياض,250 م²,"1,050,000 ريال"
,,
فيلا للبيع في شارع اسامه بن خزيم ، حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,240 م²,"1,130,000 ريال"
,,
فيلا للبيع في شارع منصور العبدلي ، حي طويق ، الرياض ، الرياض,328 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع الجلاميد ، حي العارض ، الرياض ، الرياض,440 م²,"3,300,000 ريال"
,,
فيلا للبيع في شارع المدائني ، حي الرمال ، الرياض ، الرياض,300 م²,"1,370,000 ريال"
,,
فيلا للبيع في حي النرجس ، الرياض ، الرياض,325 م²,"3,200,000 ريال"
,,
فيلا للبيع في شارع العويقليه ، حي طيبة ، الرياض ، الرياض,285 م²,"930,000 ريال"
,,
فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,360 م²,"1,120,000 ريال"
,,
فيلا للبيع في شارع بلال بن رباح ، حي طويق ، الرياض ، الرياض,400 م²,"1,800,000 ريال"
,,
فيلا للبيع في شارع يحيى الطالبي ، حي طويق ، الرياض ، الرياض,375 م²,"1,600,000 ريال"
,,
فيلا للبيع في شارع محمد بن شاكر الكتبي ، حي طويق ، الرياض ، الرياض,375 م²,"1,200,000 ريال"
,,
فيلا للبيع في شارع وادي ماوان ، حي بدر ، الرياض ، الرياض,225 م²,"850,000 ريال"
,,
فيلا للبيع في شارع البحر الميت ، حي اشبيلية ، الرياض ، الرياض,300 م²,"1,850,000 ريال"
,,
فيلا للبيع في حي ظهرة لبن ، الرياض ، الرياض,360 م²,"1,660,000 ريال"
,,
فيلا للبيع في شارع رقم 205 ، حي الملقا ، الرياض ، الرياض,360 م²,"4,300,000 ريال"
,,
فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في حي ، شارع ابي عبدالله الدمياطي ، حي ظهرة البديعة ، الرياض ، الرياض,600 م²,"1,000,000 ريال"
,,
فيلا للبيع في شارع نهاوند ، حي العزيزية ، الرياض ، الرياض,240 م²,"850,000 ريال"
,,
فيلا للبيع في شارع اسماعيل المؤذن ، حي القدس ، الرياض ، الرياض,500 م²,"1,700,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,284 م²,"1,400,000 ريال"
,,
فيلا للبيع في شارع وادي هجر ، حي الملقا ، الرياض ، الرياض,360 م²,"4,000,000 ريال"
,,
فيلا للبيع في شارع فريد ياسين قرشي ، حي طويق ، الرياض ، الرياض,312 م²,"1,400,000 ريال"
,,
فيلا للبيع في شارع ابي رفاعة العدوي ، حي مطار الملك خالد الدولي ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع عبدالعزيز الدراوردي ، حي طويق ، الرياض ، الرياض,375 م²,"1,650,000 ريال"
,,
فيلا للبيع في حي الحزم ، الرياض ، الرياض,240 م²,"1,000,000 ريال"
,,
فيلا للبيع في حي طيبة ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع وادي الشعبة ، حي بدر ، الرياض ، الرياض,275 م²,"800,000 ريال"
,,
فيلا للبيع في شارع العذبه ، حي طويق ، الرياض ، الرياض,200 م²,"960,000 ريال"
,,
فيلا للبيع في شارع جبل بني جابر ، حي القادسية ، الرياض ، الرياض,324 م²,"1,500,000 ريال"
,,
فيلا للبيع في حي الحزم ، الرياض ، الرياض,270 م²,"1,050,000 ريال"
,,
فيلا للبيع في الرياض ، حي بدر ، الرياض,300 م²,"1,200,000 ريال"
,,
فيلا للبيع في شارع ابي المظفرالازجي ، حي النسيم الغربي ، الرياض ، الرياض,312 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع احمد بن هاشم ، حي اشبيلية ، الرياض ، الرياض,216 م²,"2,000,000 ريال"
,,
فيلا للبيع في حي ، شارع حسين بن حمد ، حي الرائد ، الرياض ، الرياض,325 م²,"3,500,000 ريال"
,,
فيلا للبيع في شارع تميم بن بشير ، ملهم ، حريملاء,700 م²,"1,500,000 ريال"
,,
فيلا للبيع في حي العارض ، الرياض ، الرياض,360 م²,"2,700,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في شارع ابي عبدالله الصقلي ، حي عكاظ ، الرياض ، الرياض,352 م²,"920,000 ريال"
,,
فيلا للبيع في شارع ابي عبدالله الحلاوي ، حي الدار البيضاء ، الرياض ، الرياض,255 م²,"810,000 ريال"
,,
فيلا للبيع في شارع عبدالرحمن بن هرمز ، حي طويق ، الرياض ، الرياض,250 م²,"1,250,000 ريال"
,,
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,362 م²,"3,400,000 ريال"
,,
فيلا للبيع في حي الرمال، ، الرياض ، الرياض,350 م²,"1,850,000 ريال"
,,
فيلا للبيع في شارع رقم 57 ، حي ظهرة لبن ، الرياض ، الرياض,400 م²,"1,980,000 ريال"
,,
فيلا للبيع في حي عكاظ ، الرياض ، الرياض,329 م²,"1,100,000 ريال"
,,
فيلا للبيع في حي ، شارع يعقوب الصفار ، حي المهدية ، الرياض ، الرياض,450 م²,"2,400,000 ريال"
,,
فيلا للبيع في شارع شبه الجزيرة ، حي السعادة ، الرياض ، الرياض,375 م²,"1,900,000 ريال"
,,
فيلا للبيع في شارع جندب بن كعب ، حي الضباط ، الرياض ، الرياض,505 م²,"3,500,000 ريال"
,,
فيلا للبيع في شارع رقم 34 ، حي بدر ، الرياض ، الرياض,270 م²,"975,000 ريال"
,,
فيلا للبيع في شارع وادي حلب ، حي الدار البيضاء ، الرياض ، الرياض,220 م²,"850,000 ريال"
,,
فيلا للبيع في حي ، شارع ابي بكر العمري ، حي ظهرة نمار ، الرياض ، الرياض,225 م²,"1,080,000 ريال"
,,
فيلا للبيع في حي الشرق ، الرياض ، رماح,440 م²,"1,650,000 ريال"
,,
فيلا للبيع في شارع سعيد الحاجب ، حي الرمال ، الرياض ، الرياض,270 م²,"1,100,000 ريال"
,,
فيلا للبيع في حي الياسمين ، الرياض ، الرياض,362 م²,"3,400,000 ريال"
,,
فيلا للبيع في حي الربيع ، الرياض ، الرياض,391 م²,"4,200,000 ريال"
,,
فيلا للبيع في شارع النوارس ، حي عكاظ ، الرياض ، الرياض,260 م²,"960,000 ريال"
,,
فيلا للبيع في شارع محمد بن القزاز ، حي الجنادرية ، الرياض ، الرياض,294 م²,"1,350,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,375 م²,"2,500,000 ريال"
,,
فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,288 م²,"1,555,000 ريال"
,,
فيلا للبيع في شارع الدوحه ، حي طويق ، الرياض ، الرياض,300 م²,"1,260,000 ريال"
,,
فيلا للبيع في شارع عبدالرحمن الداخل ، حي طويق ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,240 م²,"970,000 ريال"
,,
فيلا للبيع في شارع القاده ، حي الحزم ، الرياض ، الرياض,312 م²,"1,400,000 ريال"
,,
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,360 م²,"1,025,000 ريال"
,,
فيلا للبيع في شارع محمد شاذلي ، حي طويق ، الرياض ، الرياض,480 م²,"1,400,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,200,000 ريال"
,,
فيلا للبيع في حي بدر ، الرياض ، الرياض,315 م²,"960,000 ريال"
,,
فيلا للبيع في شارع منصور الحميلي ، حي طويق ، الرياض ، الرياض,450 م²,"1,550,000 ريال"
,,
فيلا للبيع في شارع ابن ابي الجيش ، حي الضباط ، الرياض ، الرياض,810 م²,"4,000,000 ريال"
,,
فيلا للبيع في حي طويق ، الرياض ، الرياض,300 م²,"1,150,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,375 م²,"19,970,000 ريال"
,,
فيلا للبيع في حي النرجس ، الرياض ، الرياض,312 م²,"3,150,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,270 م²,"1,500,000 ريال"
,,
فيلا للبيع في حي ، شارع هند بنت عتبة ، حي النسيم الغربي ، الرياض ، الرياض,570 م²,"1,300,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,200 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع عبدالرحمن ديار بكري ، حي ديراب ، الرياض ، الرياض,225 م²,"930,000 ريال"
,,
فيلا للبيع في شارع بلال بن رباح ، حي طويق ، الرياض ، الرياض,400 م²,"700,000 ريال"
,,
فيلا للبيع في شارع الشماسية ، حي الربيع ، الرياض ، الرياض,365 م²,"2,500,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
,,
فيلا للبيع في شارع منصور الكازروني ، حي طويق ، الرياض ، الرياض,250 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع الخيالة ، حي العزيزية ، الرياض ، الرياض,200 م²,"820,000 ريال"
,,
فيلا للبيع في طريق الثمامة ، حي الرمال ، الرياض ، الرياض,300 م²,"1,500,000 ريال"
,,
فيلا للبيع في شارع البساتين ، حي الرمال ، الرياض ، الرياض,225 م²,"1,180,000 ريال"
,,
فيلا للبيع في شارع الجراني ، حي اشبيلية ، الرياض ، الرياض,300 م²,"1,920,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,340,000 ريال"
,,
فيلا للبيع في شارع حسان الاسلمي ، حي ظهرة البديعة ، الرياض ، الرياض,375 م²,"1,500,000 ريال"
,,
فيلا للبيع في شارع شهاب بن ابي بكر ، حي طيبة ، الرياض ، الرياض,286 م²,"860,000 ريال"
,,
فيلا للبيع في حي ، شارع عامر القرشي ، حي ظهرة نمار ، الرياض ، الرياض,316 م²,"1,450,000 ريال"
,,
فيلا للبيع في حي بدر ، الرياض ، الرياض,420 م²,"1,250,000 ريال"
,,
فيلا للبيع في شارع ابي سلمة ، حي الشفا ، الرياض ، الرياض,405 م²,"1,200,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,354 م²,"1,500,000 ريال"
,,
فيلا للبيع في حي بدر ، الرياض ، الرياض,315 م²,"960,000 ريال"
,,
فيلا للبيع في شارع ابن فتوح الحميدي ، حي الرمال ، الرياض ، الرياض,375 م²,"1,900,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,414 م²,"1,650,000 ريال"
,,
فيلا للبيع في حي ، شارع ريحانه بنت زيد ، حي العارض ، الرياض ، الرياض,442 م²,"2,500,000 ريال"
,,
فيلا للبيع في حي المونسية ، الرياض ، الرياض,288 م²,"1,700,000 ريال"
,,
فيلا للبيع في شارع ابي الكرم العكبري ، حي المونسية ، الرياض ، الرياض,277 م²,"1,950,000 ريال"
,,
فيلا للبيع في شارع القاضي ابو يعلي ، حي طويق ، الرياض ، الرياض,360 م²,"1,550,000 ريال"
,,
فيلا للبيع في شارع الضهاجي ، حي النهضة ، الرياض ، الرياض,510 م²,"2,500,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
,,
فيلا للبيع في شارع بعلبك ، حي عكاظ ، الرياض ، الرياض,360 م²,"1,300,000 ريال"
,,
فيلا للبيع في الرياض ، حي بدر ، الرياض,239 م²,"950,000 ريال"
,,
فيلا للبيع في شارع علي الطنطاوي ، حي ظهرة نمار ، الرياض ، الرياض,225 م²,"1,400,000 ريال"
,,
فيلا للبيع في شارع عبدالله بن أبي حبيب ، حي طويق ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع القصيم ، حي طويق ، الرياض ، الرياض,330 م²,"1,200,000 ريال"
,,
فيلا للبيع في شارع عامر بن مخلد النجاري ، حي الرمال ، الرياض ، الرياض,500 م²,"2,400,000 ريال"
,,
فيلا للبيع في شارع رقم 128 ، حي الجنادرية ، الرياض ، الرياض,294 م²,"1,370,000 ريال"
,,
فيلا للبيع في شارع عسير ، حي ظهرة لبن ، الرياض ، الرياض,415 م²,"1,800,000 ريال"
,,
فيلا للبيع في شارع مخرج 9 ، حي الازدهار ، الرياض ، الرياض,1300 م²,"5,000,000 ريال"
,,
فيلا للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي الرمال ، الرياض ، الرياض,359 م²,"1,650,000 ريال"
,,
فيلا للبيع في شارع عماره بن اوس بن ثعلبه الانصاري ، حي الرمال ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
,,
فيلا للبيع في شارع الحسن بن وهب ، حي طويق ، الرياض ، الرياض,250 م²,"1,150,000 ريال"
,,
فيلا للبيع في شارع عوف بن عفراء ، حي طويق ، الرياض ، الرياض,312 م²,"1,550,000 ريال"
,,
فيلا للبيع في شارع وادي شعيت ، حي بدر ، الرياض ، الرياض,285 م²,"980,000 ريال"
,,
فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
,,
فيلا للبيع في شارع نجم الدين الأيوبي ، حي طويق ، الرياض ، الرياض,450 م²,"1,200,000 ريال"
,,
فيلا للبيع في طريق النفود ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
,,
فيلا للبيع في شارع سدير ، حي السويدي ، الرياض ، الرياض,500 م²,"750,000 ريال"
,,
فيلا للبيع في حي ، شارع ابراهيم العبدلي ، حي الملك فيصل ، الرياض ، الرياض,600 م²,"2,800,000 ريال"
,,
فيلا للبيع في شارع بحر العرب ، حي اشبيلية ، الرياض ، الرياض,281 م²,"2,100,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع الشيخ عبدالله المخضوب ، حي الفلاح ، الرياض ، الرياض,800 م²,"6,000,000 ريال"
,,
فيلا للبيع في شارع عبدالرحمن بن ابي حاتم ، حي الرمال ، الرياض ، الرياض,300 م²,"1,300,000 ريال"
,,
فيلا للبيع في شارع سليمان بن عبدالملك بن مروان ، حي طويق ، الرياض ، الرياض,300 م²,"1,320,000 ريال"
,,
فيلا للبيع في شارع سعيد النابلسي ، حي طيبة ، الرياض ، الرياض,286 م²,"870,000 ريال"
,,
فيلا للبيع في شارع القلاع ، حي طويق ، الرياض ، الرياض,200 م²,"950,000 ريال"
,,
فيلا للبيع في حي المونسية ، الرياض ، الرياض,288 م²,"1,800,000 ريال"
,,
فيلا للبيع في شارع الدائري الثاني ، حي طويق ، الرياض ، الرياض,316 م²,"1,150,000 ريال"
,,
فيلا للبيع في شارع خديجة بنت حسان ، حي الرمال ، الرياض ، الرياض,350 م²,"1,800,000 ريال"
,,
فيلا للبيع في شارع اللوزة ، حي الاندلس ، الرياض ، الرياض,725 م²,"2,100,000 ريال"
,,
فيلا للبيع في حي ، شارع يعقوب الصفار ، حي المهدية ، الرياض ، الرياض,200 م²,"1,250,000 ريال"
,,
فيلا للبيع في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,250 م²,"1,550,000 ريال"
,,
فيلا للبيع في شارع الامام الحافظ العسقلاني ، حي ظهرة نمار ، الرياض ، الرياض,450 م²,"1,900,000 ريال"
,,
فيلا للبيع في شارع ابي المكارم بن مفرج ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع اوس الثقفي ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع الحرابي ، حي النفل ، الرياض ، الرياض,625 م²,"3,000,000 ريال"
,,
فيلا للبيع في شارع يحيى العصامي ، حي طويق ، الرياض ، الرياض,300 م²,"1,160,000 ريال"
,,
فيلا للبيع في حي النرجس ، الرياض ، الرياض,300 م²,"2,700,000 ريال"
,,
فيلا للبيع في حي بدر ، الرياض ، الرياض,312 م²,"1,100,000 ريال"
,,
فيلا للبيع في حي الرمال ، الرياض ، الرياض,288 م²,"1,420,000 ريال"
,,
فيلا للبيع في شارع المغيره بن نوفل ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,100,000 ريال"
,,
فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
,,
فيلا للبيع في شارع محمد نور المارديني ، حي طويق ، الرياض ، الرياض,300 م²,"1,220,000 ريال"
,,
فيلا للبيع في شارع القضيف ، حي طويق ، الرياض ، الرياض,200 م²,"980,000 ريال"
,,
فيلا للبيع في حي طيبة ، الرياض ، الرياض,226 م²,"900,000 ريال"
,,
فيلا للبيع في شارع ابي رفاعة العدوي ، حي مطار الملك خالد الدولي ، الرياض ، الرياض,312 م²,"1,250,000 ريال"
,,
فيلا للبيع في شارع اربيل ، حي الزهرة ، الرياض ، الرياض,400 م²,"650,000 ريال"
,,
فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,325 م²,"1,350,000 ريال"
,,
فيلا للبيع في شارع الخطامة ، حي العريجاء الوسطى ، الرياض ، الرياض,200 م²,"935,000 ريال"
,,
فيلا للبيع في طريق العزيزية ، حي الدار البيضاء ، الرياض ، الرياض,248 م²,"1,000,000 ريال"
,,
فيلا للبيع في حي ، شارع اسماعيل الجيلي ، حي الرائد ، الرياض ، الرياض,298 م²,"2,200,000 ريال"
,,
فيلا للبيع في شارع المجد ، حي الملقا ، الرياض ، الرياض,455 م²,"4,200,000 ريال"
,,
