,district_Name,property_size,property_price
9209,فيلا للبيع في شارع الأمير مشعل بن عبدالعزيز ، حي عرقة ، الرياض ، الرياض,250 م²,"2,800,000 ريال"
9211,فيلا للبيع في شارع رقم 260 ، حي الملقا ، الرياض ، الرياض,420 م²,"5,200,000 ريال"
9213,فيلا للبيع في شارع محمد بن اسباط ، حي الرمال ، الرياض ، الرياض,378 م²,"1,600,000 ريال"
9215,فيلا للبيع في شارع البيان ، حي السعادة ، الرياض ، الرياض,390 م²,"1,800,000 ريال"
9217,فيلا للبيع في حي طويق ، الرياض ، الرياض,450 م²,"1,250,000 ريال"
9219,فيلا للبيع في شارع محايل ، حي حطين ، الرياض ، الرياض,1000 م²,"11,000,000 ريال"
9221,فيلا للبيع في شارع الخزرج ، حي المصيف ، الرياض ، الرياض,171 م²,"1,100,000 ريال"
9223,فيلا للبيع في شارع رقم 300 ، حي المونسية ، الرياض ، الرياض,300 م²,"1,950,000 ريال"
9225,فيلا للبيع في شارع ابي رفاعة العدوي ، حي مطار الملك خالد الدولي ، الرياض ، الرياض,280 م²,"1,250,000 ريال"
9227,فيلا للبيع في شارع القناني ، حي عكاظ ، الرياض ، الرياض,300 م²,"980,000 ريال"
9229,فيلا للبيع في حي طويق ، الرياض ، الرياض,384 م²,"1,500,000 ريال"
9231,فيلا للبيع في حي الرمال ، الرياض ، الرياض,300 م²,"1,570,000 ريال"
9233,فيلا للبيع في شارع الكوثر ، حي العارض ، الرياض ، الرياض,270 م²,"2,400,000 ريال"
9235,فيلا للبيع في حي عكاظ ، الرياض ، الرياض,300 م²,"650,000 ريال"
9237,فيلا للبيع في شارع حسان بن عمرو ، حي الدار البيضاء ، الرياض ، الرياض,360 م²,"1,250,000 ريال"
9239,فيلا للبيع في شارع رقم 176 ، حي الملقا ، الرياض ، الرياض,736 م²,"8,500,000 ريال"
9241,فيلا للبيع في شارع القاسمي ، حي الرفيعة ، الرياض ، الرياض,1800 م²,"15,000,000 ريال"
9243,فيلا للبيع في شارع رقم 94 ، حي ظهرة لبن ، الرياض ، الرياض,200 م²,"1,300,000 ريال"
9245,فيلا للبيع في حي ، طريق الثمامة ، حي النرجس ، الرياض ، الرياض,325 م²,"3,200,000 ريال"
